LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9
0.567401,0.032841,0.039902,0.056547,0.079602,0.045491,0.034033,0.032222,0.018333,0.09363
0.501363,0.041306,0.042448,0.061428,0.100429,0.061167,0.038159,0.035013,0.01908,0.099607
0.577372,0.036349,0.039295,0.052134,0.07067,0.041852,0.032734,0.03194,0.019347,0.098307
0.404765,0.04985,0.053077,0.069722,0.104316,0.068953,0.04938,0.045513,0.027585,0.126838
0.609389,0.03355,0.03533,0.045457,0.067274,0.039308,0.027503,0.031785,0.017694,0.092708
0.481777,0.052059,0.040445,0.048755,0.070426,0.056897,0.044516,0.044301,0.027466,0.133357
0.692032,0.029535,0.025204,0.033704,0.049516,0.034112,0.02396,0.023115,0.014549,0.074274
0.465838,0.028582,0.048514,0.100804,0.146979,0.078046,0.035819,0.026291,0.011598,0.057529
0.575105,0.036659,0.039425,0.053082,0.065072,0.043462,0.034426,0.035903,0.021628,0.095238
0.320825,0.072397,0.048381,0.054127,0.082159,0.052079,0.048286,0.066746,0.043444,0.211556
0.352392,0.070849,0.047469,0.051806,0.06713,0.046049,0.045062,0.063488,0.044336,0.21142
0.470653,0.056901,0.035797,0.037485,0.057086,0.040295,0.039464,0.052825,0.035652,0.173842
0.574722,0.033597,0.042647,0.061845,0.084212,0.056669,0.031025,0.027025,0.014085,0.074173
0.476547,0.042563,0.049455,0.071572,0.119761,0.066192,0.037641,0.030556,0.017071,0.088643
0.595297,0.038857,0.033191,0.044918,0.064804,0.032465,0.026026,0.034659,0.020786,0.108996
0.57272,0.029046,0.039493,0.066969,0.099532,0.056492,0.031567,0.025408,0.0125,0.066274
0.577692,0.036425,0.038305,0.04943,0.077578,0.048946,0.032322,0.030399,0.01651,0.092393
0.534693,0.036652,0.043902,0.069771,0.092408,0.057029,0.033588,0.030607,0.016794,0.084556
0.383854,0.052922,0.052112,0.068547,0.108102,0.064381,0.047512,0.049624,0.030874,0.142072
0.418501,0.047101,0.043747,0.0938,0.13124,0.06647,0.037887,0.040079,0.021158,0.100018
0.490258,0.048032,0.03887,0.067805,0.096692,0.053048,0.031009,0.044078,0.024547,0.105662
0.407407,0.044444,0.046958,0.090212,0.15172,0.066975,0.037566,0.040079,0.017372,0.097266
0.383854,0.052922,0.052112,0.068547,0.108102,0.064381,0.047512,0.049624,0.030874,0.142072
0.293156,0.049404,0.053192,0.111726,0.192211,0.090585,0.045746,0.046167,0.020558,0.097255
0.407407,0.044444,0.046958,0.090212,0.15172,0.066975,0.037566,0.040079,0.017372,0.097266
0.318403,0.06059,0.052951,0.081858,0.130773,0.078038,0.045573,0.056771,0.028863,0.146181
0.420311,0.048172,0.045359,0.082662,0.127158,0.063451,0.033404,0.044272,0.022823,0.11239
0.314012,0.062447,0.05657,0.083418,0.125063,0.074328,0.048199,0.057839,0.034543,0.143582
0.535453,0.052586,0.027275,0.024351,0.035819,0.024808,0.026544,0.052403,0.044773,0.175987
0.456539,0.029803,0.047917,0.13261,0.184028,0.063021,0.0193,0.01985,0.005324,0.041609
