Color_0_0,Color_0_1,Color_0_2,Color_1_0,Color_1_1,Color_1_2,Color_2_0,Color_2_1,Color_2_2,Color_3_0,Color_3_1,Color_3_2,color_4_0,Color_4_1,Color_4_2,Color_5_0,Color_5_1,Color_5_2,Color_6_0,Color_6_1,Color_6_2,Color_7_0,Color_7_1,Color_7_2,Color_8_0,Color_8_1,Color_8_2,Color_9_0,Color_9_1,Color_9_2,Color_10_0,Color_10_1,Color_10_2,Color_11_0,Color_11_1,Color_11_2,Color_12_0,Color_12_1,Color_12_2,Color_13_0,Color_13_1,Color_13_2,Color_14_0,Color_14_1,Color_14_2,Color_15_0,Color_15_1,Color_15_2
0.511599,0.463433,0.393387,0.331119,0.310972,0.266243,0.028647,0.02754,0.023228,0.000269,0.000262,0.000217,0.587868,0.576308,0.5066,0.477273,0.466171,0.413385,0.139809,0.136415,0.120029,0.011958,0.011759,0.010097,0.68161,0.684754,0.612124,0.620135,0.618074,0.550345,0.455605,0.452321,0.394199,0.200432,0.203667,0.179518,0.721691,0.730954,0.654641,0.663584,0.667391,0.594135,0.543566,0.547353,0.477585,0.28193,0.366253,0.326185
0.360386,0.230151,0.286217,0.155481,0.143902,0.13341,0.017224,0.017076,0.015175,0.000498,0.000629,0.000966,0.497442,0.49747,0.469215,0.351134,0.356483,0.331834,0.103554,0.106965,0.097723,0.014465,0.015922,0.014389,0.63001,0.639917,0.617799,0.529482,0.540476,0.515299,0.315937,0.326883,0.302858,0.133347,0.143825,0.127338,0.698121,0.709874,0.692996,0.615088,0.628381,0.604515,0.422901,0.443671,0.413947,0.190202,0.264033,0.206183
0.391571,0.31363,0.187657,0.174592,0.157565,0.102414,0.010886,0.010689,0.006942,0.000184,0.000214,0.000149,0.488184,0.452914,0.295773,0.314948,0.297209,0.198629,0.063879,0.062664,0.043117,0.009724,0.010455,0.007772,0.638305,0.626224,0.447396,0.510329,0.501199,0.352726,0.273455,0.268867,0.186459,0.110982,0.114248,0.082728,0.731263,0.727402,0.53532,0.605826,0.603895,0.434523,0.382945,0.391759,0.27357,0.165249,0.233203,0.1848
0.439229,0.290228,0.315926,0.215604,0.167487,0.157053,0.019319,0.014353,0.013138,0.001096,0.000717,0.000737,0.597312,0.526386,0.530338,0.439657,0.389791,0.39054,0.119615,0.105016,0.106029,0.013029,0.011225,0.011375,0.776822,0.743545,0.76846,0.666155,0.627426,0.656303,0.416035,0.385694,0.413,0.149525,0.138196,0.143135,0.835848,0.827636,0.859599,0.749632,0.731435,0.771384,0.547903,0.527857,0.568062,0.219725,0.303596,0.256265
0.443092,0.344532,0.348045,0.267077,0.235515,0.207938,0.040321,0.036082,0.030125,0.00109,0.000905,0.000759,0.571352,0.532425,0.500937,0.463726,0.43298,0.401445,0.167268,0.154504,0.142437,0.023034,0.02081,0.018879,0.709122,0.677035,0.652548,0.625094,0.590458,0.565198,0.450802,0.425949,0.402648,0.220236,0.21102,0.192065,0.800247,0.778444,0.754785,0.676981,0.650885,0.627906,0.518688,0.492427,0.464175,0.320768,0.350094,0.294401
0.462497,0.386897,0.328663,0.56116,0.55898,0.498304,0.679217,0.69155,0.650983,0.756502,0.773002,0.74404,0.229204,0.22471,0.185152,0.445522,0.450361,0.399766,0.591314,0.602804,0.557186,0.660549,0.67526,0.635514,0.018915,0.01913,0.015596,0.146619,0.149304,0.130344,0.411848,0.420744,0.374992,0.485704,0.500203,0.452918,0.000242,0.000246,0.000201,0.01622,0.016604,0.014094,0.18921,0.197956,0.170079,0.275188,0.338286,0.300725
0.388932,0.299021,0.307114,0.192379,0.177316,0.15218,0.01076,0.01022,0.008169,0.000134,0.00013,0.000109,0.502873,0.494694,0.435707,0.418149,0.415077,0.36309,0.118707,0.11873,0.104638,0.010104,0.010181,0.009105,0.621041,0.630982,0.587293,0.568463,0.575042,0.528436,0.411666,0.416907,0.379988,0.15405,0.15945,0.138288,0.710438,0.731754,0.699997,0.634404,0.651161,0.615817,0.503241,0.520248,0.479427,0.227108,0.322155,0.235749
0.381247,0.323527,0.294708,0.246829,0.236212,0.190314,0.028751,0.028163,0.0222,0.000413,0.000409,0.000329,0.488916,0.485398,0.417062,0.420647,0.414637,0.345165,0.162726,0.161679,0.134208,0.019486,0.019844,0.016757,0.643821,0.657347,0.611966,0.569407,0.574436,0.520197,0.407112,0.413639,0.366828,0.190884,0.199747,0.169642,0.701879,0.724382,0.690012,0.628328,0.644068,0.603082,0.473767,0.491175,0.446354,0.24208,0.320585,0.23854
0.44491,0.343192,0.333467,0.288031,0.247315,0.210406,0.050728,0.044363,0.037483,0.001569,0.001437,0.001378,0.586357,0.535484,0.475926,0.471612,0.431032,0.38172,0.187051,0.17367,0.159523,0.029726,0.028061,0.027341,0.705562,0.676385,0.650226,0.621865,0.591443,0.566033,0.446935,0.426359,0.40728,0.238159,0.23282,0.217991,0.784803,0.765843,0.752212,0.676217,0.655397,0.643968,0.524663,0.507282,0.488748,0.31921,0.36196,0.313783
0.300013,0.251553,0.270176,0.143354,0.168385,0.149845,0.025359,0.033832,0.031803,0.002587,0.00369,0.00374,0.3836,0.458044,0.412844,0.260149,0.32655,0.292954,0.099227,0.133057,0.125632,0.038482,0.052982,0.051693,0.515081,0.605711,0.564188,0.380622,0.483608,0.465588,0.221629,0.299789,0.288569,0.14543,0.199529,0.190503,0.602217,0.695341,0.666832,0.452545,0.572532,0.567506,0.281712,0.389381,0.383801,0.179781,0.265531,0.250855
0.304757,0.24079,0.263432,0.152836,0.171122,0.151567,0.01714,0.021259,0.018198,0.000912,0.001266,0.00111,0.358713,0.404126,0.346315,0.274562,0.318195,0.270676,0.106749,0.129637,0.112135,0.02392,0.031588,0.027791,0.48819,0.543139,0.490338,0.389501,0.435726,0.382584,0.24957,0.296112,0.259471,0.14213,0.182843,0.158145,0.57668,0.634015,0.588145,0.46315,0.516298,0.463743,0.298494,0.356029,0.311067,0.190063,0.258496,0.211495
0.417439,0.320197,0.341882,0.205729,0.187321,0.162585,0.036175,0.03652,0.029945,0.003805,0.004198,0.003838,0.491315,0.496463,0.450071,0.341486,0.343113,0.306155,0.12205,0.124359,0.112889,0.039939,0.042372,0.039666,0.628959,0.656334,0.609179,0.517788,0.537581,0.49902,0.313049,0.329267,0.309602,0.193873,0.208861,0.197203,0.707048,0.743846,0.70507,0.591903,0.623213,0.590293,0.399206,0.422616,0.402087,0.267238,0.302277,0.280693
0.414293,0.311919,0.342971,0.24538,0.215665,0.208745,0.037523,0.034422,0.033314,0.002205,0.002219,0.002394,0.488805,0.463977,0.452883,0.398072,0.373799,0.361676,0.181609,0.171211,0.168493,0.041621,0.040179,0.041644,0.60984,0.597274,0.592207,0.522706,0.506661,0.498236,0.383503,0.364177,0.358407,0.24782,0.235316,0.233158,0.68787,0.680035,0.679809,0.600863,0.587432,0.580353,0.452947,0.432759,0.422741,0.319988,0.336426,0.305917
0.292907,0.220073,0.268768,0.14159,0.154325,0.141331,0.024743,0.029741,0.028816,0.002011,0.003139,0.004407,0.404819,0.455816,0.466026,0.261131,0.310088,0.309189,0.083797,0.111022,0.116775,0.020337,0.03275,0.040231,0.62868,0.704049,0.724576,0.45222,0.530128,0.544986,0.216845,0.28603,0.305521,0.102196,0.155035,0.177345,0.764965,0.836622,0.860745,0.584645,0.666416,0.690195,0.283095,0.367211,0.390814,0.146078,0.230245,0.249174
0.387726,0.326755,0.337796,0.449094,0.509479,0.516442,0.581614,0.651971,0.67067,0.689007,0.758967,0.785444,0.172927,0.203179,0.191181,0.292472,0.351974,0.342511,0.446376,0.515816,0.50047,0.569788,0.641423,0.624452,0.025968,0.03329,0.030453,0.099002,0.130341,0.119703,0.25975,0.319546,0.281686,0.383215,0.455499,0.403439,0.001839,0.002146,0.001784,0.026191,0.036732,0.033801,0.153389,0.203883,0.187788,0.244274,0.334292,0.298908
0.444931,0.40455,0.392024,0.321929,0.326974,0.291326,0.115691,0.136321,0.125599,0.023377,0.033153,0.032748,0.551751,0.556413,0.54101,0.419111,0.441129,0.417429,0.209538,0.24283,0.231175,0.084802,0.112646,0.108617,0.739624,0.766133,0.766121,0.592679,0.63241,0.62507,0.386308,0.436771,0.428651,0.245487,0.299038,0.287978,0.844743,0.877722,0.879838,0.702241,0.749371,0.747001,0.49204,0.563439,0.553565,0.31997,0.421343,0.389928
0.432905,0.419272,0.359602,0.526771,0.545477,0.495379,0.641269,0.677272,0.632863,0.678083,0.728768,0.760963,0.286442,0.303219,0.293425,0.410903,0.430363,0.420902,0.54593,0.577686,0.571586,0.612578,0.659682,0.692932,0.101743,0.113431,0.125957,0.207526,0.224554,0.240285,0.369753,0.395283,0.414347,0.473022,0.51236,0.542566,0.019283,0.022073,0.026651,0.086042,0.095281,0.110769,0.234124,0.257992,0.280397,0.315711,0.40403,0.424306
0.312821,0.280194,0.263014,0.397522,0.437491,0.415567,0.532973,0.600879,0.597342,0.61854,0.704447,0.717847,0.128777,0.147215,0.122613,0.268576,0.303972,0.276873,0.426985,0.482153,0.458272,0.498719,0.566085,0.553408,0.027607,0.033704,0.029863,0.105882,0.12692,0.11065,0.278787,0.324635,0.285882,0.347035,0.399896,0.369769,0.007029,0.008623,0.007728,0.045518,0.055572,0.048568,0.166901,0.199987,0.17164,0.225869,0.299866,0.263986
0.351729,0.335744,0.336287,0.26377,0.265207,0.265144,0.092663,0.097596,0.100144,0.011678,0.012551,0.012928,0.464656,0.462423,0.454651,0.363051,0.369468,0.368664,0.188863,0.203086,0.206009,0.069442,0.075701,0.080586,0.671214,0.695084,0.692994,0.559699,0.579299,0.578582,0.380646,0.403008,0.412631,0.234092,0.257918,0.272732,0.774056,0.82109,0.830001,0.65985,0.704017,0.709351,0.480895,0.522337,0.530208,0.283128,0.388473,0.367107
0.279373,0.262319,0.19347,0.352545,0.377377,0.286998,0.527666,0.559771,0.465148,0.640496,0.677579,0.58976,0.16359,0.185732,0.134991,0.261792,0.292741,0.217991,0.418599,0.451903,0.362114,0.54149,0.577247,0.488959,0.023485,0.027181,0.019908,0.094459,0.108549,0.08025,0.243825,0.276326,0.211841,0.320493,0.361967,0.294236,0.000395,0.000586,0.000313,0.013571,0.016504,0.011393,0.126384,0.150497,0.113008,0.169499,0.237931,0.185207
0.440901,0.418256,0.307728,0.527379,0.544071,0.413825,0.633136,0.663593,0.549179,0.691736,0.73036,0.655709,0.221837,0.228142,0.163826,0.375794,0.395124,0.308638,0.542261,0.580361,0.502007,0.608716,0.655897,0.604776,0.02697,0.029433,0.02094,0.10041,0.107256,0.085045,0.326331,0.353616,0.301438,0.436361,0.482319,0.433857,0.001608,0.00191,0.001228,0.019374,0.020073,0.014744,0.149046,0.163276,0.128016,0.218175,0.30971,0.265052
0.266176,0.247531,0.271295,0.133612,0.162275,0.155173,0.025463,0.032345,0.030191,0.001782,0.002445,0.002289,0.354595,0.434995,0.412062,0.232514,0.299902,0.290719,0.079658,0.105176,0.101729,0.018791,0.026625,0.026246,0.494693,0.597271,0.563698,0.364414,0.475247,0.473825,0.200121,0.274581,0.279528,0.106723,0.155084,0.154395,0.587201,0.705278,0.678816,0.44168,0.571479,0.571386,0.264243,0.364989,0.376351,0.145478,0.242242,0.226895
0.377368,0.265602,0.332039,0.164044,0.16657,0.167837,0.013766,0.017616,0.017575,0.000802,0.001883,0.001633,0.502829,0.519176,0.51768,0.339895,0.368418,0.366787,0.098147,0.116877,0.119443,0.019561,0.027969,0.030986,0.697103,0.714064,0.70081,0.533831,0.561412,0.560915,0.297214,0.33037,0.33897,0.139201,0.173539,0.188785,0.817332,0.82955,0.812584,0.647331,0.674591,0.668968,0.387108,0.432871,0.439682,0.208572,0.280285,0.280308
0.427354,0.324741,0.262724,0.236978,0.202498,0.146321,0.036026,0.031833,0.023167,0.001826,0.001656,0.001272,0.532508,0.48593,0.377248,0.383524,0.354979,0.277798,0.128315,0.120287,0.093751,0.026195,0.024073,0.018234,0.725494,0.718974,0.644999,0.581159,0.573188,0.496605,0.331801,0.321826,0.263347,0.161401,0.151873,0.117107,0.820454,0.835999,0.803542,0.705263,0.716612,0.669789,0.440389,0.441435,0.380724,0.199389,0.244883,0.171469
0.34297,0.275063,0.284857,0.198513,0.184296,0.180646,0.025914,0.025176,0.025129,0.000346,0.000335,0.000333,0.397375,0.379809,0.359365,0.316195,0.303133,0.2898,0.130746,0.124401,0.118645,0.015724,0.014861,0.014099,0.510859,0.497898,0.472733,0.430025,0.414016,0.39072,0.336067,0.319042,0.299156,0.171628,0.167696,0.153571,0.599878,0.589311,0.562178,0.487265,0.471869,0.443998,0.384347,0.36996,0.346344,0.236434,0.290057,0.23532
0.840792,0.813772,0.570063,0.730158,0.696797,0.474237,0.535514,0.489038,0.312637,0.354195,0.288805,0.216586,0.767009,0.736175,0.507227,0.638984,0.602014,0.396992,0.417735,0.379493,0.23417,0.232806,0.201153,0.118271,0.588,0.549745,0.339941,0.437972,0.403495,0.242158,0.154701,0.137617,0.078723,0.034636,0.028783,0.015706,0.456285,0.437019,0.205414,0.283165,0.256769,0.125393,0.038413,0.032696,0.014938,0.002408,0.001593,0.000638
0.328135,0.227569,0.151127,0.251912,0.181658,0.113413,0.041145,0.02976,0.018472,0.00054,0.000396,0.00025,0.396038,0.305931,0.207978,0.34134,0.265605,0.181038,0.14845,0.117148,0.082013,0.018746,0.015129,0.010872,0.483295,0.400805,0.307905,0.419102,0.346106,0.262159,0.314088,0.259601,0.195909,0.178892,0.151939,0.109426,0.53897,0.476572,0.403444,0.456023,0.396688,0.326996,0.349675,0.300198,0.234536,0.212271,0.241454,0.147306
0.245909,0.207801,0.278983,0.101124,0.119971,0.137003,0.008293,0.011163,0.012423,0.000126,0.000176,0.0002,0.265928,0.351425,0.381695,0.208888,0.28269,0.310899,0.074827,0.104379,0.117635,0.008892,0.012757,0.01467,0.334105,0.441107,0.473753,0.277201,0.371639,0.406553,0.187413,0.260751,0.294502,0.085318,0.12347,0.139504,0.401655,0.50953,0.533087,0.331578,0.429963,0.46099,0.227952,0.315037,0.350806,0.088703,0.204481,0.194986
0.309453,0.270632,0.312815,0.166897,0.170196,0.179972,0.024933,0.027489,0.028995,0.001615,0.001899,0.002046,0.382312,0.400509,0.413293,0.278522,0.299074,0.311607,0.108902,0.122154,0.131853,0.023811,0.027332,0.030115,0.491716,0.530933,0.544811,0.396815,0.43864,0.457016,0.271557,0.304761,0.330031,0.157507,0.181559,0.198231,0.568219,0.626246,0.649295,0.451165,0.509205,0.54373,0.329036,0.372701,0.402994,0.203055,0.277131,0.278627
0.353243,0.256769,0.339855,0.144868,0.13977,0.15538,0.012704,0.013544,0.015226,0.000884,0.000947,0.001178,0.411222,0.434272,0.448768,0.295584,0.317994,0.329727,0.086893,0.095497,0.101961,0.017405,0.020145,0.02204,0.518977,0.543685,0.544788,0.43343,0.458678,0.465156,0.26725,0.288257,0.303223,0.132557,0.149519,0.160207,0.583119,0.605912,0.606965,0.492217,0.516956,0.520673,0.341539,0.36984,0.386311,0.199013,0.25226,0.251315
0.378578,0.303604,0.289334,0.233623,0.210569,0.189149,0.032356,0.030241,0.027427,0.00088,0.000804,0.000735,0.455779,0.415575,0.365038,0.376845,0.350146,0.313417,0.153669,0.143019,0.129917,0.02407,0.021841,0.01984,0.548713,0.517229,0.468246,0.47897,0.453637,0.418234,0.340011,0.320651,0.297175,0.165327,0.157693,0.13952,0.626049,0.610297,0.574395,0.546853,0.534889,0.507446,0.417435,0.411251,0.384745,0.1934,0.288931,0.201339
